Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Alniyat;Star;16:21:11.32;-25:35:34.1;Sco;;;;;2.90;;;;;;;;;;;;;;;;;;HR 6084,sig Sco,HIP 80112,HD 147165;Alniyat;;;
Alphard;Star;09:27:35.24;-08:39:31.0;Hya;;;;;1.99;;;;;;;;;;;;;;;;;;HR 3748,alf Hya,HIP 46390,HD 81797;Alphard;;;
Alphecca;Star;15:34:41.27;+26:42:52.9;CrB;;;;;2.22;;;;;;;;;;;;;;;;;;HR 5793,alf CrB,HIP 76267,HD 139006;Alphecca;;;
Alpheratz;Star;00:08:23.26;+29:05:25.6;And;;;;;2.07;;;;;;;;;;;;;;;;;;HR 15,alf And,HIP 677,HD 358;Alpheratz;;;
Alpherg;Star;01:31:29.01;+15:20:45.0;Psc;;;;;3.83;;;;;;;;;;;;;;;;;;HR 437,eta Psc,HIP 7097,HD 9270;Alpherg;;;
Alrakis;Star;17:05:20.11;+54:28:12.3;Dra;;;;;5.55;;;;;;;;;;;;;;;;;;HR 6370,mu Dra,HIP 83608,HD 154906;Alrakis;;;
Alrescha;Star;02:02:02.83;+02:45:49.4;Psc;;;;;3.82;;;;;;;;;;;;;;;;;;HR 596,alf Psc,HIP 9487,HD 12446;Alrescha;;;
Alruba;Star;17:43:59.18;+53:48:06.2;Dra;;;;;5.75;;;;;;;;;;;;;;;;;;HR 6618,HIP 86782,HD 161693;Alruba;;;
Alsafi;Star;19:32:21.59;+69:39:40.2;Dra;;;;;4.67;;;;;;;;;;;;;;;;;;HR 7462,sig Dra,HIP 96100,HD 185144;Alsafi;;;
Alsciaukat;Star;08:22:50.11;+43:11:17.3;Lyn;;;;;4.25;;;;;;;;;;;;;;;;;;HR 3275,31 Lyn,HIP 41075,HD 70272;Alsciaukat;;;
Alsephina;Star;08:44:42.23;-54:42:31.7;Vel;;;;;1.99;;;;;;;;;;;;;;;;;;HR 3485,del Vel,HIP 42913,HD 74956;Alsephina;;;
Alshain;Star;19:55:18.79;+06:24:24.3;Aql;;;;;3.71;;;;;;;;;;;;;;;;;;HR 7602,bet Aql,HIP 98036,HD 188512;Alshain;;;
