Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
PK 4-11 2;PN;18:44:13.41;-30:18:26.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4+02 1;PN;17:49:00.58;-23:42:54.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-05 1;PN;18:16:11.44;-27:14:57.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-22 1;PN;19:32:07.30;-34:12:33.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4+04 1;PN;17:38:30.32;-22:08:38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-04 2;PN;18:16:17.38;-27:04:32.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+03 1;PN;17:45:36.92;-23:02:26.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+04 1;PN;17:40:18.08;-22:19:17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-03 2;PN;18:12:23.14;-26:32:54.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-03 1;PN;18:09:13.42;-26:02:26.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-08 1;PN;18:32:31.10;-28:43:21.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+04 2;PN;17:41:36.96;-22:13:02.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+05 1;PN;17:36:23.94;-21:30:49.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+02 1;PN;17:48:07.78;-22:46:46.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+06 1;PN;17:35:21.18;-20:57:18.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-02 1;PN;18:07:53.51;-25:24:02.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-04 1;PN;18:13:40.55;-26:08:43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-05 1;PN;18:19:25.14;-26:35:19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5+05 2;PN;17:39:54.61;-21:14:06.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 5-06 1;PN;18:22:54.24;-26:49:16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+02 1;PN;17:48:37.11;-22:16:49.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+03 2;PN;17:47:38.26;-22:06:19.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6-03 3;PN;18:13:16.13;-25:30:05.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+08 1;PN;17:28:57.62;-19:15:53.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+03 1;PN;17:47:34.43;-21:47:24.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+04 1;PN;17:43:28.86;-21:09:52.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+02 5;PN;17:52:41.45;-22:21:56.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
