Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
vdB 80;RfN;06:30:49.81;-09:39:14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 81;RfN;06:32:54.23;+07:19:58.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 82;RfN;06:33:05.19;+10:19:20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 83;RfN;06:39:42.00;-27:15:00.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 84;RfN;06:40:04.77;-27:23:53.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 85;RfN;06:46:51.64;+01:18:56.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 86;RfN;06:57:07.93;-10:16:47.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 87;RfN;07:00:28.61;-08:51:57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 88;RfN;07:01:49.51;-11:18:03.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 89;RfN;07:02:38.64;-12:14:01.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 90;RfN;07:02:42.61;-11:27:11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 91;RfN;07:03:24.56;-10:42:16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 92;RfN;07:03:54.86;-11:34:34.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 93;RfN;07:04:25.52;-10:27:15.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 94;RfN;07:05:16.75;-12:19:34.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 95;RfN;07:06:40.77;-11:17:38.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 96;RfN;07:19:37.49;-24:01:27.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 97;RfN;07:32:30.00;-16:53:60.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 98;RfN;07:36:31.82;-25:19:58.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 99;RfN;15:58:51.11;-26:06:50.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 100;RfN;16:11:59.74;-19:27:38.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 101;RfN;16:19:07.72;-20:13:05.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 102;RfN;16:20:03.98;-20:02:41.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 103;RfN;16:20:30.27;-20:07:03.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 104;RfN;16:21:11.32;-25:35:34.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 105;RfN;16:25:24.32;-24:27:56.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 106;RfN;16:25:35.12;-23:26:49.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 107;RfN;16:29:24.46;-26:25:55.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 108;RfN;16:30:12.48;-25:06:54.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 109;RfN;16:41:34.38;-17:44:31.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 110;RfN;17:16:06.49;-21:01:58.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 111;RfN;17:18:52.79;+06:05:07.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 112;RfN;17:53:31.26;-05:37:09.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 113;RfN;18:08:38.59;-21:26:58.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
