Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LDN 93;DrkN;18:02:45.07;-27:49:54.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 94;DrkN;17:19:60.00;-21:46:00.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 95;DrkN;17:19:59.88;-21:41:00.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 96;DrkN;18:08:09.79;-28:19:31.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 97;DrkN;18:07:21.58;-28:10:34.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 98;DrkN;16:35:49.18;-13:57:05.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 99;DrkN;17:18:59.47;-21:23:04.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 100;DrkN;17:15:58.75;-20:53:17.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 101;DrkN;17:21:48.07;-21:47:52.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 102;DrkN;17:22:30.19;-21:52:49.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 103;DrkN;17:21:29.95;-21:42:54.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 104;DrkN;17:15:58.63;-20:48:17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 105;DrkN;16:36:25.20;-13:57:03.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 106;DrkN;16:36:43.20;-13:57:02.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 107;DrkN;17:26:00.82;-22:17:34.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 108;DrkN;18:10:09.77;-28:19:22.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 109;DrkN;17:39:03.53;-24:06:38.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 110;DrkN;16:49:52.06;-16:05:07.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 111;DrkN;17:15:10.03;-20:21:21.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 112;DrkN;17:25:00.24;-21:52:39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 113;DrkN;17:38:33.17;-23:51:40.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 114;DrkN;17:40:03.43;-24:01:33.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 115;DrkN;16:53:52.87;-16:39:51.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 116;DrkN;18:06:32.54;-27:29:38.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 117;DrkN;17:25:00.02;-21:42:38.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 118;DrkN;16:54:52.99;-16:44:47.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 119;DrkN;18:03:07.82;-26:59:53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 120;DrkN;18:06:26.42;-27:24:38.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 121;DrkN;16:39:49.34;-14:00:49.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 122;DrkN;16:55:10.99;-16:44:45.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 123;DrkN;18:07:38.42;-27:24:33.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 124;DrkN;18:13:09.26;-27:59:09.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 125;DrkN;17:36:01.99;-23:01:51.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 126;DrkN;17:43:03.46;-24:01:20.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 127;DrkN;18:08:08.28;-27:18:31.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 128;DrkN;17:31:00.79;-22:12:13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 129;DrkN;16:54:58.49;-16:19:46.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 130;DrkN;17:45:03.70;-24:11:12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 131;DrkN;17:24:59.35;-21:12:38.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 132;DrkN;16:54:52.39;-16:14:47.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 133;DrkN;17:59:06.38;-26:00:10.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 134;DrkN;15:53:38.30;-04:38:49.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 135;DrkN;18:02:06.86;-26:19:57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 136;DrkN;17:29:00.10;-21:42:21.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 137;DrkN;16:50:51.29;-15:25:03.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 138;DrkN;17:23:58.90;-20:52:43.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 139;DrkN;17:16:45.24;-19:43:14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 140;DrkN;17:53:04.92;-25:00:37.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 141;DrkN;16:50:51.10;-15:15:04.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 142;DrkN;17:43:02.76;-23:31:20.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 143;DrkN;18:10:07.80;-26:59:22.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 144;DrkN;17:40:32.04;-23:01:31.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 145;DrkN;16:35:17.23;-12:16:07.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 146;DrkN;16:56:22.13;-15:59:40.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 147;DrkN;18:04:06.60;-26:09:49.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 148;DrkN;16:46:25.70;-14:10:22.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 149;DrkN;17:26:58.94;-20:52:30.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 150;DrkN;17:57:04.94;-25:00:19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 151;DrkN;18:06:06.60;-26:09:40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 152;DrkN;16:49:50.28;-14:35:08.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 153;DrkN;17:40:01.46;-22:36:33.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 154;DrkN;17:42:01.82;-22:51:25.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 155;DrkN;17:38:00.98;-22:16:42.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 156;DrkN;16:37:17.28;-12:15:59.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 157;DrkN;18:09:06.96;-26:24:27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 158;DrkN;16:47:49.63;-14:05:16.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 159;DrkN;17:48:33.02;-23:40:56.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 160;DrkN;17:45:02.30;-23:11:12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 161;DrkN;17:51:03.50;-24:00:45.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 162;DrkN;16:49:07.87;-14:15:10.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 163;DrkN;16:49:49.97;-14:20:08.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 164;DrkN;17:37:00.43;-21:51:46.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 165;DrkN;18:16:07.75;-26:58:56.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 166;DrkN;18:02:05.18;-25:09:57.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 167;DrkN;18:06:05.88;-25:39:40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 168;DrkN;17:32:59.26;-21:02:04.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 169;DrkN;15:52:36.98;-03:18:53.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 170;DrkN;17:47:02.11;-23:01:03.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 171;DrkN;18:03:05.18;-25:09:53.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 172;DrkN;17:38:00.10;-21:36:42.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 173;DrkN;17:17:13.54;-18:23:12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 174;DrkN;17:39:00.22;-21:41:38.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 175;DrkN;17:18:19.73;-18:31:07.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 176;DrkN;18:10:06.10;-25:49:22.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 177;DrkN;17:22:56.71;-19:12:47.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 178;DrkN;17:31:58.58;-20:32:08.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 179;DrkN;17:23:56.83;-19:17:43.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 180;DrkN;18:03:04.58;-24:44:53.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 181;DrkN;18:31:09.17;-28:04:50.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 182;DrkN;17:32:58.58;-20:32:04.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 183;DrkN;15:53:54.82;-03:08:48.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 185;DrkN;17:31:58.25;-20:17:08.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 186;DrkN;17:44:00.72;-22:01:16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 187;DrkN;18:12:05.98;-25:44:13.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 188;DrkN;17:53:02.35;-23:10:37.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 189;DrkN;17:43:00.26;-21:41:20.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 190;DrkN;16:48:18.29;-12:55:14.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 191;DrkN;16:47:48.07;-12:45:16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 192;DrkN;17:30:57.58;-19:47:13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 193;DrkN;17:35:58.63;-20:31:51.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 194;DrkN;18:13:05.62;-25:29:09.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 195;DrkN;18:15:53.93;-25:43:57.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 196;DrkN;18:10:04.92;-24:59:22.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 197;DrkN;18:13:05.40;-25:20:09.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 198;DrkN;18:13:35.42;-25:22:07.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 199;DrkN;18:15:05.54;-25:27:00.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 200;DrkN;18:10:04.68;-24:49:22.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 201;DrkN;18:20:06.24;-25:58:39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 202;DrkN;17:38:28.44;-20:21:40.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 203;DrkN;18:14:23.14;-25:10:03.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 204;DrkN;16:47:47.30;-12:05:16.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 205;DrkN;18:26:06.77;-26:23:12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 206;DrkN;17:30:56.62;-19:02:13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 207;DrkN;17:44:59.38;-21:01:12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 208;DrkN;18:13:04.42;-24:39:09.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 209;DrkN;17:37:57.77;-19:51:42.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 210;DrkN;18:09:09.70;-24:07:26.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 211;DrkN;18:09:33.74;-24:09:24.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 212;DrkN;18:11:03.96;-24:19:18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 213;DrkN;18:09:03.53;-24:00:27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 214;DrkN;18:09:03.48;-23:58:27.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 215;DrkN;17:58:01.46;-22:30:15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 216;DrkN;17:37:57.50;-19:39:42.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 217;DrkN;18:28:06.36;-26:08:04.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 218;DrkN;17:55:00.72;-21:58:28.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 219;DrkN;17:39:27.67;-19:46:36.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 220;DrkN;17:30:55.87;-18:28:13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 221;DrkN;18:11:03.50;-23:59:18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 222;DrkN;17:41:09.70;-19:46:28.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 223;DrkN;17:40:45.60;-19:42:30.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 224;DrkN;18:08:32.81;-23:29:29.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 225;DrkN;17:32:55.99;-18:32:04.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 226;DrkN;17:40:33.53;-19:39:31.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 227;DrkN;18:10:03.05;-23:39:22.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 228;DrkN;17:40:45.50;-19:37:30.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 229;DrkN;17:40:09.34;-19:30:33.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 230;DrkN;18:09:02.76;-23:27:27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 231;DrkN;17:40:21.36;-19:31:32.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 232;DrkN;18:05:01.92;-22:49:44.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 233;DrkN;17:45:04.06;-20:01:11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 234;DrkN;16:48:46.18;-11:05:12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 235;DrkN;17:46:28.27;-20:11:05.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 236;DrkN;18:26:05.21;-25:18:13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 237;DrkN;18:01:01.01;-22:10:02.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 238;DrkN;16:35:43.32;-08:46:05.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 239;DrkN;18:33:24.10;-26:00:41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 240;DrkN;18:37:06.55;-26:22:25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 241;DrkN;18:11:32.57;-23:19:16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 242;DrkN;18:12:08.69;-23:24:13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 243;DrkN;18:12:02.57;-23:19:14.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 244;DrkN;16:51:46.42;-11:14:59.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
