Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-86;HII;19:43:09.69;+23:17:15.4;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-87;HII;19:46:24.70;+24:37:41.2;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-88;HII;19:45:58.83;+25:20:37.9;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-89;HII;19:50:02.41;+26:29:09.9;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-90;HII;19:49:13.31;+26:52:03.6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-91;HII;19:35:34.04;+29:36:16.0;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-92;HII;19:46:39.31;+28:14:43.7;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-93;HII;19:55:01.22;+27:12:48.5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-94;HII;19:27:51.61;+31:28:14.2;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-95;HII;19:55:01.72;+29:17:49.0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-96;HII;19:28:42.05;+32:41:21.2;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-97;HII;19:56:05.26;+30:15:57.3;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-98;HII;19:58:44.52;+31:25:17.8;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-99;HII;20:00:51.03;+33:29:34.2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-100;HII;20:01:51.17;+33:30:41.8;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-101;HII;19:59:57.52;+35:17:27.7;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
