Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LBN 145;Neb;19:46:01.61;+28:17:23.3;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 146;Neb;19:55:03.58;+27:16:58.4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 147;Neb;19:36:59.16;+29:36:47.5;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 148;Neb;19:27:55.92;+31:26:11.4;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 149;Neb;19:55:00.91;+29:17:58.2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 150;Neb;19:28:54.12;+32:41:15.4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 151;Neb;19:55:59.88;+30:08:02.0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 152;Neb;21:37:25.01;+12:43:31.4;;190;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 153;Neb;20:05:01.90;+29:10:36.1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 154;Neb;19:58:58.51;+31:18:13.3;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 155;Neb;20:03:57.72;+32:12:32.4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 156;Neb;19:56:55.61;+33:13:05.9;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 157;Neb;21:50:25.37;+13:14:03.5;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 158;Neb;19:59:55.92;+33:12:17.3;;16;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 159;Neb;20:01:56.21;+33:08:24.7;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 160;Neb;20:00:55.63;+33:28:21.0;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 161;Neb;20:01:55.73;+33:28:24.6;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 162;Neb;20:06:55.97;+33:38:43.4;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 163;Neb;20:09:56.74;+33:18:54.7;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 164;Neb;20:03:54.94;+34:08:32.3;;33;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 165;Neb;19:43:49.15;+36:37:14.9;;195;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 166;Neb;20:06:55.25;+34:08:43.4;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 167;Neb;20:55:09.53;+26:41:30.1;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 168;Neb;19:59:52.80;+35:18:16.9;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 169;Neb;20:33:02.66;+30:40:17.0;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 170;Neb;20:05:54.41;+34:38:39.8;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 171;Neb;20:00:52.66;+35:28:21.0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 172;Neb;20:09:55.32;+34:18:54.7;;43;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 173;Neb;19:45:48.24;+37:17:22.9;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 174;Neb;20:03:53.47;+35:08:32.3;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 175;Neb;20:13:56.45;+33:49:09.5;;53;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 176;Neb;19:43:47.50;+37:37:14.9;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 177;Neb;20:04:53.52;+35:10:36.1;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
